kind,delay_us,rounds,branch,shots,counts_json,p00,p11,p01,p10,rep
CLASSICAL_XBASIS,50.0,5,classical,2000,"{""01"": 494, ""00"": 500, ""11"": 448, ""10"": 558}",0.25,0.224,0.247,0.279,9
CLASSICAL_XBASIS,60.0,5,classical,2000,"{""10"": 515, ""01"": 460, ""11"": 489, ""00"": 536}",0.268,0.2445,0.23,0.2575,9
CLASSICAL_XBASIS,80.0,5,classical,2000,"{""11"": 513, ""01"": 481, ""00"": 494, ""10"": 512}",0.247,0.2565,0.2405,0.256,9
CLASSICAL_XBASIS,100.0,5,classical,2000,"{""10"": 487, ""11"": 539, ""00"": 479, ""01"": 495}",0.2395,0.2695,0.2475,0.2435,9
CLASSICAL_XBASIS,120.0,5,classical,2000,"{""10"": 488, ""01"": 538, ""11"": 477, ""00"": 497}",0.2485,0.2385,0.269,0.244,9
CLASSICAL_XBASIS,140.0,5,classical,2000,"{""01"": 522, ""11"": 494, ""10"": 485, ""00"": 499}",0.2495,0.247,0.261,0.2425,9
CLASSICAL_XBASIS,160.0,5,classical,2000,"{""10"": 522, ""00"": 470, ""11"": 505, ""01"": 503}",0.235,0.2525,0.2515,0.261,9
CLASSICAL_XBASIS,180.0,5,classical,2000,"{""10"": 520, ""01"": 490, ""11"": 485, ""00"": 505}",0.2525,0.2425,0.245,0.26,9
CLASSICAL_XBASIS,200.0,5,classical,2000,"{""01"": 515, ""11"": 491, ""10"": 508, ""00"": 486}",0.243,0.2455,0.2575,0.254,9
QUANTUM_ZBASIS,0.0,10,quantum,2000,"{""11"": 783, ""01"": 193, ""00"": 851, ""10"": 173}",0.4255,0.3915,0.0965,0.0865,9
QUANTUM_ZBASIS,8.333333333333334,10,quantum,2000,"{""00"": 847, ""11"": 703, ""01"": 212, ""10"": 238}",0.4235,0.3515,0.106,0.119,9
QUANTUM_ZBASIS,16.666666666666668,10,quantum,2000,"{""00"": 848, ""11"": 643, ""10"": 241, ""01"": 268}",0.424,0.3215,0.134,0.1205,9
QUANTUM_ZBASIS,25.0,10,quantum,2000,"{""11"": 544, ""00"": 932, ""01"": 261, ""10"": 263}",0.466,0.272,0.1305,0.1315,9
QUANTUM_ZBASIS,33.333333333333336,10,quantum,2000,"{""10"": 266, ""00"": 984, ""01"": 287, ""11"": 463}",0.492,0.2315,0.1435,0.133,9
QUANTUM_ZBASIS,41.66666666666667,10,quantum,2000,"{""00"": 1006, ""10"": 304, ""11"": 380, ""01"": 310}",0.503,0.19,0.155,0.152,9
QUANTUM_ZBASIS,50.0,10,quantum,2000,"{""00"": 1056, ""01"": 283, ""10"": 317, ""11"": 344}",0.528,0.172,0.1415,0.1585,9
QUANTUM_ZBASIS,60.0,10,quantum,2000,"{""11"": 302, ""01"": 367, ""00"": 1024, ""10"": 307}",0.512,0.151,0.1835,0.1535,9
QUANTUM_ZBASIS,80.0,10,quantum,2000,"{""00"": 1144, ""01"": 331, ""10"": 324, ""11"": 201}",0.572,0.1005,0.1655,0.162,9
QUANTUM_ZBASIS,100.0,10,quantum,2000,"{""00"": 1242, ""01"": 294, ""10"": 301, ""11"": 163}",0.621,0.0815,0.147,0.1505,9
QUANTUM_ZBASIS,120.0,10,quantum,2000,"{""00"": 1340, ""11"": 132, ""01"": 267, ""10"": 261}",0.67,0.066,0.1335,0.1305,9
QUANTUM_ZBASIS,140.0,10,quantum,2000,"{""00"": 1380, ""10"": 263, ""11"": 108, ""01"": 249}",0.69,0.054,0.1245,0.1315,9
QUANTUM_ZBASIS,160.0,10,quantum,2000,"{""01"": 230, ""10"": 261, ""00"": 1433, ""11"": 76}",0.7165,0.038,0.115,0.1305,9
QUANTUM_ZBASIS,180.0,10,quantum,2000,"{""00"": 1527, ""01"": 194, ""10"": 214, ""11"": 65}",0.7635,0.0325,0.097,0.107,9
QUANTUM_ZBASIS,200.0,10,quantum,2000,"{""00"": 1564, ""10"": 196, ""01"": 181, ""11"": 59}",0.782,0.0295,0.0905,0.098,9
CLASSICAL_ZBASIS,0.0,10,classical,2000,"{""11"": 1550, ""01"": 182, ""00"": 122, ""10"": 146}",0.061,0.775,0.091,0.073,9
CLASSICAL_ZBASIS,8.333333333333334,10,classical,2000,"{""00"": 1571, ""01"": 160, ""11"": 125, ""10"": 144}",0.7855,0.0625,0.08,0.072,9
CLASSICAL_ZBASIS,16.666666666666668,10,classical,2000,"{""00"": 1543, ""11"": 107, ""01"": 177, ""10"": 173}",0.7715,0.0535,0.0885,0.0865,9
CLASSICAL_ZBASIS,25.0,10,classical,2000,"{""10"": 388, ""11"": 959, ""01"": 394, ""00"": 259}",0.1295,0.4795,0.197,0.194,9
CLASSICAL_ZBASIS,33.333333333333336,10,classical,2000,"{""00"": 313, ""01"": 430, ""11"": 812, ""10"": 445}",0.1565,0.406,0.215,0.2225,9
CLASSICAL_ZBASIS,41.66666666666667,10,classical,2000,"{""00"": 1595, ""10"": 146, ""01"": 159, ""11"": 100}",0.7975,0.05,0.0795,0.073,9
CLASSICAL_ZBASIS,50.0,10,classical,2000,"{""00"": 405, ""11"": 636, ""10"": 503, ""01"": 456}",0.2025,0.318,0.228,0.2515,9
CLASSICAL_ZBASIS,60.0,10,classical,2000,"{""10"": 501, ""01"": 479, ""11"": 488, ""00"": 532}",0.266,0.244,0.2395,0.2505,9
CLASSICAL_ZBASIS,80.0,10,classical,2000,"{""10"": 494, ""01"": 507, ""11"": 353, ""00"": 646}",0.323,0.1765,0.2535,0.247,9
CLASSICAL_ZBASIS,100.0,10,classical,2000,"{""00"": 857, ""10"": 429, ""01"": 457, ""11"": 257}",0.4285,0.1285,0.2285,0.2145,9
CLASSICAL_ZBASIS,120.0,10,classical,2000,"{""00"": 976, ""11"": 195, ""01"": 424, ""10"": 405}",0.488,0.0975,0.212,0.2025,9
CLASSICAL_ZBASIS,140.0,10,classical,2000,"{""10"": 380, ""00"": 1085, ""01"": 404, ""11"": 131}",0.5425,0.0655,0.202,0.19,9
CLASSICAL_ZBASIS,160.0,10,classical,2000,"{""11"": 104, ""10"": 358, ""00"": 1226, ""01"": 312}",0.613,0.052,0.156,0.179,9
CLASSICAL_ZBASIS,180.0,10,classical,2000,"{""00"": 1728, ""01"": 129, ""10"": 115, ""11"": 28}",0.864,0.014,0.0645,0.0575,9
CLASSICAL_ZBASIS,200.0,10,classical,2000,"{""00"": 1376, ""10"": 275, ""01"": 282, ""11"": 67}",0.688,0.0335,0.141,0.1375,9
QUANTUM_XBASIS,0.0,10,quantum,2000,"{""11"": 826, ""01"": 178, ""10"": 186, ""00"": 810}",0.405,0.413,0.089,0.093,9
QUANTUM_XBASIS,8.333333333333334,10,quantum,2000,"{""10"": 216, ""01"": 222, ""00"": 729, ""11"": 833}",0.3645,0.4165,0.111,0.108,9
QUANTUM_XBASIS,16.666666666666668,10,quantum,2000,"{""10"": 270, ""01"": 272, ""00"": 736, ""11"": 722}",0.368,0.361,0.136,0.135,9
QUANTUM_XBASIS,25.0,10,quantum,2000,"{""11"": 705, ""10"": 295, ""01"": 304, ""00"": 696}",0.348,0.3525,0.152,0.1475,9
QUANTUM_XBASIS,33.333333333333336,10,quantum,2000,"{""00"": 652, ""01"": 347, ""11"": 684, ""10"": 317}",0.326,0.342,0.1735,0.1585,9
QUANTUM_XBASIS,41.66666666666667,10,quantum,2000,"{""11"": 612, ""00"": 644, ""01"": 350, ""10"": 394}",0.322,0.306,0.175,0.197,9
QUANTUM_XBASIS,50.0,10,quantum,2000,"{""00"": 599, ""11"": 615, ""01"": 411, ""10"": 375}",0.2995,0.3075,0.2055,0.1875,9
QUANTUM_XBASIS,60.0,10,quantum,2000,"{""00"": 601, ""11"": 606, ""01"": 411, ""10"": 382}",0.3005,0.303,0.2055,0.191,9
QUANTUM_XBASIS,80.0,10,quantum,2000,"{""10"": 442, ""00"": 556, ""11"": 554, ""01"": 448}",0.278,0.277,0.224,0.221,9
