basis,lambda,rep,t2star_us,amplitude,n_points,fit_meta
ZBASIS,0.30000000000000004,1,8.661012014028978,0.32256815068614575,15,"{""a"": 0.32256815068614575, ""c"": 0.4743373295977872, ""r2"": 0.39791072687964313, ""T"": 8.661012014028978}"
ZBASIS,0.30000000000000004,2,9.871762227220977,0.2895691582944762,15,"{""a"": 0.2895691582944762, ""c"": 0.5096646770152505, ""r2"": 0.4916307810204371, ""T"": 9.871762227220977}"
ZBASIS,0.30000000000000004,3,10.793176853437341,0.30359662721328473,15,"{""a"": 0.30359662721328473, ""c"": 0.5009197861698526, ""r2"": 0.3141492508180955, ""T"": 10.793176853437341}"
ZBASIS,0.30000000000000004,4,9.380083668709364,0.31225598990909076,15,"{""a"": 0.31225598990909076, ""c"": 0.49193601029096945, ""r2"": 0.2993435618616286, ""T"": 9.380083668709364}"
ZBASIS,0.30000000000000004,5,9.178885754481243,0.2840049650883289,15,"{""a"": 0.2840049650883289, ""c"": 0.49872275604832406, ""r2"": 0.25865671958193615, ""T"": 9.178885754481243}"
ZBASIS,0.30000000000000004,6,9.768086227251011,0.2898972552369307,15,"{""a"": 0.2898972552369307, ""c"": 0.4877367164653886, ""r2"": 0.2565781742152019, ""T"": 9.768086227251011}"
ZBASIS,0.30000000000000004,7,8.908577714939836,0.30447188499048106,15,"{""a"": 0.30447188499048106, ""c"": 0.501466188885413, ""r2"": 0.37863782320839345, ""T"": 8.908577714939836}"
ZBASIS,0.30000000000000004,8,14.523927543789757,0.3557944143676036,15,"{""a"": 0.3557944143676036, ""c"": 0.46600123297503687, ""r2"": 0.40249143192490977, ""T"": 14.523927543789757}"
ZBASIS,0.30000000000000004,9,4.7256357974446255,0.21155396504733692,15,"{""a"": 0.21155396504733692, ""c"": 0.5699778927435637, ""r2"": 0.3386647370880488, ""T"": 4.7256357974446255}"
ZBASIS,0.4,0,9.259687518165146,0.304235694361464,15,"{""a"": 0.304235694361464, ""c"": 0.4903550987431719, ""r2"": 0.21441091381496735, ""T"": 9.259687518165146}"
ZBASIS,0.4,1,8.218206990208065,0.326818139163106,15,"{""a"": 0.326818139163106, ""c"": 0.4667143747563758, ""r2"": 0.32129809155573175, ""T"": 8.218206990208065}"
ZBASIS,0.4,2,9.160118078353406,0.2897847930814687,15,"{""a"": 0.2897847930814687, ""c"": 0.5134443493467112, ""r2"": 0.36682051319746156, ""T"": 9.160118078353406}"
ZBASIS,0.4,3,0.1208061814501479,0.28199999208197496,15,"{""a"": 0.28199999208197496, ""c"": 0.5186000007449298, ""r2"": 0.18302603117112148, ""T"": 0.1208061814501479}"
ZBASIS,0.4,4,9.0436975796376,0.3154214111864034,15,"{""a"": 0.3154214111864034, ""c"": 0.49036987411912725, ""r2"": 0.22612298476681614, ""T"": 9.0436975796376}"
ZBASIS,0.4,5,7.988740434652376,0.2833725030649607,15,"{""a"": 0.2833725030649607, ""c"": 0.49863917432417565, ""r2"": 0.19127121879755637, ""T"": 7.988740434652376}"
ZBASIS,0.4,6,10.036280129035015,0.29409878108593224,15,"{""a"": 0.29409878108593224, ""c"": 0.48180858134971166, ""r2"": 0.20190543223792812, ""T"": 10.036280129035015}"
ZBASIS,0.4,7,8.73439133064061,0.30294689367097677,15,"{""a"": 0.30294689367097677, ""c"": 0.5033293609375041, ""r2"": 0.28331367282411535, ""T"": 8.73439133064061}"
ZBASIS,0.4,8,15.99224363077583,0.36881847255951483,15,"{""a"": 0.36881847255951483, ""c"": 0.4588392088991628, ""r2"": 0.3440737113940303, ""T"": 15.99224363077583}"
ZBASIS,0.5,0,9.000297331064905,0.3097980338025918,15,"{""a"": 0.3097980338025918, ""c"": 0.48915220214877536, ""r2"": 0.16992280896409373, ""T"": 9.000297331064905}"
ZBASIS,0.5,1,0.22227413732075973,0.3110682137950841,15,"{""a"": 0.3110682137950841, ""c"": 0.47193109280369705, ""r2"": 0.21527682497644252, ""T"": 0.22227413732075973}"
ZBASIS,0.5,2,8.57132294602,0.29013988541567276,15,"{""a"": 0.29013988541567276, ""c"": 0.5169388780919818, ""r2"": 0.26681075743228677, ""T"": 8.57132294602}"
ZBASIS,0.5,3,12.604362129227969,0.3094099486190284,15,"{""a"": 0.3094099486190284, ""c"": 0.4938867637889326, ""r2"": 0.19467823292641118, ""T"": 12.604362129227969}"
ZBASIS,0.5,5,6.850084064322246,0.2834803096949921,15,"{""a"": 0.2834803096949921, ""c"": 0.4983144027859023, ""r2"": 0.14375207541563506, ""T"": 6.850084064322246}"
ZBASIS,0.5,6,10.296374900802652,0.29836738185472,15,"{""a"": 0.29836738185472, ""c"": 0.4758728828310294, ""r2"": 0.16157715717778387, ""T"": 10.296374900802652}"
ZBASIS,0.5,7,8.573352479565003,0.30140874776836224,15,"{""a"": 0.30140874776836224, ""c"": 0.5051600196628389, ""r2"": 0.21085348774555723, ""T"": 8.573352479565003}"
ZBASIS,0.5,8,17.4112598382177,0.38321627166255273,15,"{""a"": 0.38321627166255273, ""c"": 0.45136309552569426, ""r2"": 0.29667474704430374, ""T"": 17.4112598382177}"
ZBASIS,0.6000000000000001,0,8.771301194876852,0.3153935365406472,15,"{""a"": 0.3153935365406472, ""c"": 0.48790448914551643, ""r2"": 0.1374293271980941, ""T"": 8.771301194876852}"
ZBASIS,0.6000000000000001,1,7.381332625007796,0.33594382021695895,15,"{""a"": 0.33594382021695895, ""c"": 0.45134570561418597, ""r2"": 0.20512675365521293, ""T"": 7.381332625007796}"
