lambda,rep,t2star_us,amplitude,n_points,fit_meta
0.1,1,9.348172429825832,0.41534046830559573,15,"{""a"": 0.41534046830559573, ""c"": 0.4957040253992268, ""r2"": 0.7410536357140358, ""T"": 9.348172429825832}"
0.1,2,9.7444239262097,0.4146484065739049,15,"{""a"": 0.4146484065739049, ""c"": 0.4938949056489129, ""r2"": 0.7026227569257634, ""T"": 9.7444239262097}"
0.1,3,8.742051804851538,0.4326677727901772,15,"{""a"": 0.4326677727901772, ""c"": 0.48782029565596524, ""r2"": 0.7578132047349554, ""T"": 8.742051804851538}"
0.1,4,8.715549860973496,0.42048664496387717,15,"{""a"": 0.42048664496387717, ""c"": 0.49768984355779355, ""r2"": 0.6744955235304269, ""T"": 8.715549860973496}"
0.1,5,9.790303760970412,0.41941151884927647,15,"{""a"": 0.41941151884927647, ""c"": 0.4886665806888444, ""r2"": 0.6743429342454628, ""T"": 9.790303760970412}"
0.1,6,8.705766019637664,0.44781257922134127,15,"{""a"": 0.44781257922134127, ""c"": 0.48896457668294463, ""r2"": 0.7651790988179801, ""T"": 8.705766019637664}"
0.1,7,9.180064830754374,0.40896564547335196,15,"{""a"": 0.40896564547335196, ""c"": 0.49473336548912816, ""r2"": 0.683026233461281, ""T"": 9.180064830754374}"
0.1,8,8.348134677156288,0.4342959952699152,15,"{""a"": 0.4342959952699152, ""c"": 0.4889011480653871, ""r2"": 0.7090688639708486, ""T"": 8.348134677156288}"
0.1,9,8.746248393387273,0.423448730984255,15,"{""a"": 0.423448730984255, ""c"": 0.49314012878271946, ""r2"": 0.7087439382197958, ""T"": 8.746248393387273}"
0.2,0,9.385904428434433,0.4210040672701378,15,"{""a"": 0.4210040672701378, ""c"": 0.49068003747256717, ""r2"": 0.7377715025903826, ""T"": 9.385904428434433}"
0.2,1,9.691819832282468,0.4435703401008616,15,"{""a"": 0.4435703401008616, ""c"": 0.489317755157352, ""r2"": 0.7176395406879823, ""T"": 9.691819832282468}"
0.2,2,10.209919227831191,0.43293826709694155,15,"{""a"": 0.43293826709694155, ""c"": 0.4910081725986253, ""r2"": 0.6892190549992174, ""T"": 10.209919227831191}"
0.2,3,9.232391256536202,0.4279582106998245,15,"{""a"": 0.4279582106998245, ""c"": 0.4871800307266566, ""r2"": 0.71815533922735, ""T"": 9.232391256536202}"
0.2,4,9.744942529060651,0.4401816632272844,15,"{""a"": 0.4401816632272844, ""c"": 0.4856017595567768, ""r2"": 0.701127356807425, ""T"": 9.744942529060651}"
0.2,5,8.701912347730165,0.42365954194468,15,"{""a"": 0.42365954194468, ""c"": 0.4887223297187614, ""r2"": 0.7116011387294278, ""T"": 8.701912347730165}"
0.2,6,9.404551006627765,0.4401244151426563,15,"{""a"": 0.4401244151426563, ""c"": 0.48312158198855437, ""r2"": 0.68966595638445, ""T"": 9.404551006627765}"
0.2,7,9.168171920119487,0.4315973790200906,15,"{""a"": 0.4315973790200906, ""c"": 0.48384423372684593, ""r2"": 0.7512343946440296, ""T"": 9.168171920119487}"
0.2,8,8.99392435059475,0.4103491610510008,15,"{""a"": 0.4103491610510008, ""c"": 0.4967440336179281, ""r2"": 0.7346144104306057, ""T"": 8.99392435059475}"
0.2,9,9.142454001026607,0.40726856354196384,15,"{""a"": 0.40726856354196384, ""c"": 0.4989696230338172, ""r2"": 0.6253290554053841, ""T"": 9.142454001026607}"
0.3,0,9.491879538528746,0.41987965886200995,15,"{""a"": 0.41987965886200995, ""c"": 0.49274367904086963, ""r2"": 0.6901046015413721, ""T"": 9.491879538528746}"
0.3,1,9.485942129985233,0.4273043529319502,15,"{""a"": 0.4273043529319502, ""c"": 0.48898294682734583, ""r2"": 0.748473720713704, ""T"": 9.485942129985233}"
0.3,2,9.488152815827222,0.43950316547447,15,"{""a"": 0.43950316547447, ""c"": 0.4786525611826348, ""r2"": 0.7063344187640765, ""T"": 9.488152815827222}"
0.3,3,8.820898164292897,0.437418575756579,15,"{""a"": 0.437418575756579, ""c"": 0.48625087570751246, ""r2"": 0.6774791219763113, ""T"": 8.820898164292897}"
0.3,4,9.169919525240292,0.43368261619010673,15,"{""a"": 0.43368261619010673, ""c"": 0.4926726262029755, ""r2"": 0.7405242177121887, ""T"": 9.169919525240292}"
0.3,5,10.843849021118867,0.4370260229201343,15,"{""a"": 0.4370260229201343, ""c"": 0.48265272258164793, ""r2"": 0.7137307174057574, ""T"": 10.843849021118867}"
0.3,6,9.111728712923572,0.4275571643289689,15,"{""a"": 0.4275571643289689, ""c"": 0.4916070123023142, ""r2"": 0.702393603177077, ""T"": 9.111728712923572}"
0.3,7,8.832118610722938,0.40517448692844094,15,"{""a"": 0.40517448692844094, ""c"": 0.5005322237830238, ""r2"": 0.7203523718185327, ""T"": 8.832118610722938}"
0.3,8,9.335050349681069,0.42934113419794406,15,"{""a"": 0.42934113419794406, ""c"": 0.4928983333245748, ""r2"": 0.7170917705096798, ""T"": 9.335050349681069}"
0.3,9,10.918218059359692,0.4288205799015968,15,"{""a"": 0.4288205799015968, ""c"": 0.49149912252401096, ""r2"": 0.6906192244347187, ""T"": 10.918218059359692}"
0.4,0,8.213442776979083,0.4316861093819804,15,"{""a"": 0.4316861093819804, ""c"": 0.48673555318668205, ""r2"": 0.7154881372189671, ""T"": 8.213442776979083}"
0.4,1,8.19206273593011,0.4225260775770955,15,"{""a"": 0.4225260775770955, ""c"": 0.49402590959725406, ""r2"": 0.6997985427111372, ""T"": 8.19206273593011}"
0.4,2,9.302777006226279,0.4448315265666326,15,"{""a"": 0.4448315265666326, ""c"": 0.4941239496130543, ""r2"": 0.6674455096316705, ""T"": 9.302777006226279}"
0.4,3,9.902227310234625,0.44191799040372765,15,"{""a"": 0.44191799040372765, ""c"": 0.49068327361369474, ""r2"": 0.7395677735778086, ""T"": 9.902227310234625}"
0.4,4,10.005203978476766,0.4167329636829833,15,"{""a"": 0.4167329636829833, ""c"": 0.4959109999650039, ""r2"": 0.7703724217954853, ""T"": 10.005203978476766}"
0.4,5,0.027856813540267922,0.3987138880063613,15,"{""a"": 0.3987138880063613, ""c"": 0.5142864729842346, ""r2"": 0.5529531462384636, ""T"": 0.027856813540267922}"
