basis,lambda,rep,t2star_us,amplitude,n_points,fit_meta
XBASIS,0.30000000000000004,6,41.712200127952705,0.5572370340573432,15,"{""a"": 0.5572370340573432, ""c"": 0.008131815281291305, ""r2"": 0.9915885685079272, ""T"": 41.712200127952705}"
XBASIS,0.30000000000000004,7,48.64936570755662,0.5537319876367396,15,"{""a"": 0.5537319876367396, ""c"": -0.013133572630262524, ""r2"": 0.9932198508118898, ""T"": 48.64936570755662}"
XBASIS,0.30000000000000004,8,45.65454670753597,0.5550794046127148,15,"{""a"": 0.5550794046127148, ""c"": -0.01359087046665708, ""r2"": 0.9935344454514962, ""T"": 45.65454670753597}"
XBASIS,0.30000000000000004,9,43.54386922432395,0.5630290703970077,15,"{""a"": 0.5630290703970077, ""c"": -0.0036265691698488317, ""r2"": 0.9944434459272752, ""T"": 43.54386922432395}"
XBASIS,0.4,0,43.520686632400235,0.47599751094578613,15,"{""a"": 0.47599751094578613, ""c"": -0.0034356558246807028, ""r2"": 0.9859318075386868, ""T"": 43.520686632400235}"
XBASIS,0.4,1,46.880883769545584,0.4893171119718731,15,"{""a"": 0.4893171119718731, ""c"": -0.00813211827763756, ""r2"": 0.9928753974474697, ""T"": 46.880883769545584}"
XBASIS,0.4,2,42.61651073460972,0.46703128793163784,15,"{""a"": 0.46703128793163784, ""c"": 0.011397256977616427, ""r2"": 0.9961002012011697, ""T"": 42.61651073460972}"
XBASIS,0.4,3,44.46060796623623,0.4774530330951643,15,"{""a"": 0.4774530330951643, ""c"": -0.0031853097399796217, ""r2"": 0.9835561093146412, ""T"": 44.46060796623623}"
XBASIS,0.4,4,48.2975721751431,0.4658949275876204,15,"{""a"": 0.4658949275876204, ""c"": -0.00771440744066956, ""r2"": 0.9864719748762828, ""T"": 48.2975721751431}"
XBASIS,0.4,5,45.659683691450844,0.43953644010532017,15,"{""a"": 0.43953644010532017, ""c"": 0.0016670679084614237, ""r2"": 0.9933193376231423, ""T"": 45.659683691450844}"
XBASIS,0.4,6,40.95241900229524,0.4756358020782947,15,"{""a"": 0.4756358020782947, ""c"": 0.010004225960681174, ""r2"": 0.9893636281659614, ""T"": 40.95241900229524}"
XBASIS,0.4,7,48.896073142014956,0.47420026948135285,15,"{""a"": 0.47420026948135285, ""c"": -0.012341099146068901, ""r2"": 0.9918542354589269, ""T"": 48.896073142014956}"
XBASIS,0.4,8,45.393610678007676,0.47677795715918375,15,"{""a"": 0.47677795715918375, ""c"": -0.011750481852980143, ""r2"": 0.9938605637845697, ""T"": 45.393610678007676}"
XBASIS,0.4,9,43.46123574538065,0.4833618330424463,15,"{""a"": 0.4833618330424463, ""c"": -0.004581340658344119, ""r2"": 0.9927929793496159, ""T"": 43.46123574538065}"
XBASIS,0.5,0,43.98329866675252,0.4004814192906335,15,"{""a"": 0.4004814192906335, ""c"": -0.006541301286256864, ""r2"": 0.9809429356367886, ""T"": 43.98329866675252}"
XBASIS,0.5,1,46.70617210253276,0.41520199846050987,15,"{""a"": 0.41520199846050987, ""c"": -0.008519210867325483, ""r2"": 0.9896940060794259, ""T"": 46.70617210253276}"
XBASIS,0.5,2,41.71608905247255,0.386033487169436,15,"{""a"": 0.386033487169436, ""c"": 0.012789116996221274, ""r2"": 0.9941097647970952, ""T"": 41.71608905247255}"
XBASIS,0.5,3,45.3384043746892,0.40167513223975365,15,"{""a"": 0.40167513223975365, ""c"": -0.005405925897908353, ""r2"": 0.977430983642524, ""T"": 45.3384043746892}"
XBASIS,0.5,4,50.251590111133396,0.38778584451335046,15,"{""a"": 0.38778584451335046, ""c"": -0.010723549938331889, ""r2"": 0.9806722632106445, ""T"": 50.251590111133396}"
XBASIS,0.5,5,45.74068520854972,0.36078925901716946,15,"{""a"": 0.36078925901716946, ""c"": 0.0037234255086772395, ""r2"": 0.9901539310383274, ""T"": 45.74068520854972}"
XBASIS,0.5,6,39.86556895200871,0.39414886751540623,15,"{""a"": 0.39414886751540623, ""c"": 0.011892368997466532, ""r2"": 0.9849703102860845, ""T"": 39.86556895200871}"
