label,rep,t2star_us,n_points,kind_set,lambda,fit_meta
L05,8,5.559098893022118,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8631653797786826, ""c"": 0.17640431480494617, ""r2"": 0.14321901804001957}"
L05,9,5.579526987993693,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8734907587445808, ""c"": 0.17242952072794843, ""r2"": 0.14373164121657045}"
L06,0,16.514889898188308,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1546999566231664, ""c"": 0.022409393073003898, ""r2"": 0.48382644847977785}"
L06,1,16.80124086779456,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1527808043394654, ""c"": 0.0263190689689981, ""r2"": 0.48469421337846885}"
L06,2,16.56305803914494,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1606123432335362, ""c"": 0.020736436758107324, ""r2"": 0.491442993691554}"
L06,3,16.524087462196597,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1530814102794877, ""c"": 0.023937858948886805, ""r2"": 0.4797085268329737}"
L06,4,16.20067033260206,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1545911969833895, ""c"": 0.021995199206817577, ""r2"": 0.4769230297790189}"
L06,5,16.664605551262873,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1630034508355684, ""c"": 0.016374973657116935, ""r2"": 0.4863256946814527}"
L06,6,16.634036385408873,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1560754035786724, ""c"": 0.02127107087310453, ""r2"": 0.4872291633251702}"
L06,7,16.396445507458676,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1604862400903473, ""c"": 0.019477780723995544, ""r2"": 0.4890048692528973}"
L06,8,16.50375316905175,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.154355756210652, ""c"": 0.022515181079311098, ""r2"": 0.4758182037717813}"
L06,9,16.421548399874823,14,BELL_MIXED,0.5999999999999999,"{""a"": 1.1538125209780583, ""c"": 0.021129813893834736, ""r2"": 0.4737531663789507}"
L07,0,9.939787583926831,14,BELL_MIXED,0.5,"{""a"": -1.1125453737716287, ""c"": -0.014166441244157646, ""r2"": 0.35102720043963986}"
L07,1,10.12886894832147,14,BELL_MIXED,0.5,"{""a"": -1.1271917897008024, ""c"": -0.006623510547044207, ""r2"": 0.36542496724649487}"
L07,2,9.91120873543177,14,BELL_MIXED,0.5,"{""a"": -1.1147302316315173, ""c"": -0.012087029574616832, ""r2"": 0.3481407998724523}"
L07,3,9.965796607533475,14,BELL_MIXED,0.5,"{""a"": -1.1301825663279486, ""c"": 0.0011039297951586278, ""r2"": 0.3589726167037248}"
L07,4,10.012801317481927,14,BELL_MIXED,0.5,"{""a"": -1.1146432278203493, ""c"": -0.013681263911982433, ""r2"": 0.3581996378217428}"
L07,5,9.89637655588624,14,BELL_MIXED,0.5,"{""a"": -1.1248200155132781, ""c"": -0.006681597749768168, ""r2"": 0.3582963600437298}"
L07,6,9.999220382887975,14,BELL_MIXED,0.5,"{""a"": -1.13102719186286, ""c"": 0.0003069574922786175, ""r2"": 0.3659948202271014}"
L07,7,10.029928126519001,14,BELL_MIXED,0.5,"{""a"": -1.1270366701092094, ""c"": -0.002796036426034791, ""r2"": 0.3620114828273975}"
L07,8,9.864924332343342,14,BELL_MIXED,0.5,"{""a"": -1.1249497959609354, ""c"": -0.007220304257138099, ""r2"": 0.363347865304525}"
L07,9,9.986110439639633,14,BELL_MIXED,0.5,"{""a"": -1.1277979618467826, ""c"": -0.004627672983748334, ""r2"": 0.36338320411162106}"
L08,0,29.077070669470476,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.16076681336168744, ""c"": 0.287759230195988, ""r2"": 0.009541961877861826}"
L08,1,30.026113566503767,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.17139680741266677, ""c"": 0.2755475184619705, ""r2"": 0.010875666373719395}"
L08,2,30.579678196904798,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.16535519534254267, ""c"": 0.28238252215386767, ""r2"": 0.010293113508856422}"
L08,3,29.530054045107093,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.16198135397243152, ""c"": 0.28702821239665405, ""r2"": 0.009793390931413293}"
L08,4,30.900168661881025,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.16110812975229152, ""c"": 0.2853631606258892, ""r2"": 0.009632216095094459}"
L08,5,29.63349811138784,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.16934873199817255, ""c"": 0.2782389106635685, ""r2"": 0.010845908673780658}"
L08,6,30.016270989599285,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.1592255169434662, ""c"": 0.28487909302412695, ""r2"": 0.00937788144440721}"
